2024-04-15 12:00:03,noVessels
2024-04-15 12:30:03,noVessels
2024-04-15 13:00:03,noVessels
2024-04-15 13:30:03,noVessels
2024-04-15 14:00:02,noVessels
2024-04-15 14:30:03,noVessels
2024-04-15 15:00:03,noVessels
2024-04-15 15:30:02,noVessels
2024-04-15 16:00:02,noVessels
2024-04-15 16:30:03,noVessels
2024-04-15 17:00:03,noVessels
2024-04-15 17:30:03,noVessels
2024-04-15 18:00:03,noVessels
2024-04-15 18:30:03,noVessels
2024-04-15 19:00:03,noVessels
2024-04-15 19:30:05,noVessels
2024-04-15 20:00:02,noVessels
2024-04-15 20:30:03,noVessels
2024-04-15 21:00:04,noVessels
2024-04-15 21:30:03,noVessels
2024-04-15 22:00:03,noVessels
2024-04-15 22:30:03,noVessels
2024-04-15 23:00:03,noVessels
2024-04-15 23:30:03,noVessels
2024-04-16 00:00:03,noVessels
2024-04-16 00:30:03,noVessels
2024-04-16 01:00:03,noVessels
2024-04-16 01:30:02,noVessels
2024-04-16 02:00:03,noVessels
2024-04-16 02:30:03,noVessels
2024-04-16 03:00:02,noVessels
2024-04-16 03:30:03,noVessels
2024-04-16 04:00:02,noVessels
2024-04-16 04:30:03,noVessels
2024-04-16 05:00:03,noVessels
2024-04-16 05:30:03,noVessels
2024-04-16 06:00:02,noVessels
2024-04-16 06:30:02,noVessels
2024-04-16 07:00:03,noVessels
2024-04-16 07:30:03,noVessels
2024-04-16 08:00:02,noVessels
2024-04-16 08:30:03,noVessels
2024-04-16 09:00:03,noVessels
2024-04-16 09:30:03,noVessels
2024-04-16 10:00:02,noVessels
2024-04-16 10:30:02,noVessels
2024-04-16 11:00:03,noVessels
2024-04-16 11:30:03,noVessels
2024-04-16 12:00:03,noVessels
2024-04-16 12:30:03,noVessels
2024-04-16 13:00:02,noVessels
2024-04-16 13:30:03,noVessels
2024-04-16 14:00:03,noVessels
2024-04-16 14:30:03,noVessels
2024-04-16 15:00:03,noVessels
2024-04-16 15:30:02,noVessels
2024-04-16 16:00:03,noVessels
2024-04-16 16:30:03,noVessels
2024-04-16 17:00:03,noVessels
2024-04-16 17:30:03,noVessels
2024-04-16 18:00:03,noVessels
2024-04-16 18:30:03,noVessels
2024-04-16 19:00:03,noVessels
2024-04-16 19:30:05,noVessels
2024-04-16 20:00:03,noVessels
